Mot|Phrase|Catégorie|Traduction en français
column|The newspaper column discusses current events.|Nom masculin|colonne
combination|The combination of flavors created a unique dish.|Nom féminin|combinaison
combine|They will combine their resources for the project.|Verbe|combiner
come|She will come to the party with her friends.|Verbe|venir
comedy|The comedy show had the audience laughing throughout.|Nom féminin|comédie
comfort|He found comfort in the presence of his family.|Nom masculin|confort
comfortable|The sofa is comfortable for lounging.|Adjectif|confortable
command|He issued a command to his troops.|Nom masculin|commande
commander|The commander led the soldiers into battle.|Nom masculin|commandant
comment|She left a comment on the blog post.|Nom masculin|commentaire
commercial|The commercial advertised the new product.|Adjectif|publicitaire
commission|The artist received a commission for a portrait.|Nom féminin|commission
commit|They will commit to achieving their goals.|Verbe|s'engager
commitment|Her commitment to the cause is unwavering.|Nom masculin|engagement
committee|The committee will review the proposed changes.|Nom masculin|comité
common|Common values unite people across cultures.|Adjectif|commun
communicate|Effective communication is key in any relationship.|Verbe|communiquer
communication|Clear communication avoids misunderstandings.|Nom féminin|communication
community|The community came together to support the local school.|Nom féminin|communauté
company|The company is a leader in the technology industry.|Nom masculin|entreprise
compare|She will compare the prices of different products.|Verbe|comparer
comparison|The comparison showed the advantages of the new model.|Nom féminin|comparaison
compete|They will compete in the upcoming sports event.|Verbe|concourir
competition|The competition was fierce, but she emerged victorious.|Nom féminin|concurrence
competitive|He has a competitive spirit in sports.|Adjectif|compétitif
competitor|The competitor performed exceptionally well.|Nom masculin|concurrent
complain|He didn't complain about the challenging task.|Verbe|se plaindre
complaint|She submitted a complaint about the noisy neighbors.|Nom féminin|plainte
complete|She will complete the assignment by tomorrow.|Verbe|achever
completely|The room was completely renovated.|Adverbe|complètement
complex|The issue is complex and requires careful consideration.|Adjectif|complexe
complicated|The instructions for assembly were complicated.|Adjectif|compliqué
component|Each component of the system has a specific function.|Nom masculin|composant
compose|She can compose beautiful melodies on the piano.|Verbe|composer
composition|The composition of the painting is visually striking.|Nom féminin|composition
comprehensive|The comprehensive report covered all aspects of the topic.|Adjectif|complet
computer|The computer is an essential tool for work and study.|Nom masculin|ordinateur
concentrate|She needs to concentrate on her studies.|Verbe|se concentrer
concentration|Her concentration on the task was impressive.|Nom féminin|concentration
concept|The concept of sustainability is gaining importance.|Nom masculin|concept
concern|Her main concern is the safety of her family.|Nom masculin|préoccupation
concerned|He was concerned about the impact of the decision.|Adjectif|inquiet
concert|The concert was a memorable musical experience.|Nom masculin|concert
conclude|They will conclude the meeting with final remarks.|Verbe|conclure
conclusion|The conclusion of the report summarized the findings.|Nom féminin|conclusion
concrete|The building is made of sturdy concrete.|Adjectif|béton
condition|The car is in excellent condition.|Nom féminin|état
conduct|She displayed excellent conduct during the event.|Nom masculin|comportement
conference|The conference brought experts from various fields.|Nom féminin|conférence
confidence|Her confidence in her abilities is inspiring.|Nom féminin|confiance
confident|She felt confident about the upcoming interview.|Adjectif|confiant
confirm|Please confirm your attendance at the meeting.|Verbe|confirmer
conflict|The conflict between the two nations escalated.|Nom masculin|conflit
confront|She decided to confront the issue head-on.|Verbe|affronter
confusion|There was confusion regarding the new policy.|Nom féminin|confusion
Congress|Members of Congress debated the proposed bill.|Nom masculin|Congrès
congressional|The congressional session addressed key issues.|Adjectif|congressional
connect|The bridge connects the two sides of the river.|Verbe|relier
connection|Their connection grew stronger over time.|Nom féminin|lien
consciousness|Consciousness is a topic explored in philosophy.|Nom féminin|conscience
consensus|The group reached a consensus on the decision.|Nom masculin|consensus
consequence|The consequence of her actions was severe.|Nom féminin|conséquence
conservative|He has conservative views on social issues.|Adjectif|conservateur
consider|She will consider all options before making a decision.|Verbe|considérer
considerable|The project required a considerable amount of time.|Adjectif|considérable
consideration|Her consideration for others is admirable.|Nom féminin|considération
consist|The recipe will consist of fresh ingredients.|Verbe|consister
consistent|Her performance has been consistently excellent.|Adjectif|cohérent
constant|The constant noise in the city can be overwhelming.|Adjectif|constant
constantly|He is constantly seeking opportunities for growth.|Adverbe|constamment
constitute|Different elements constitute a successful team.|Verbe|constituer
constitutional|The constitutional rights of citizens are protected.|Adjectif|constitutionnel
construct|They will construct a new building in the area.|Verbe|construire
construction|The construction of the bridge is underway.|Nom féminin|construction
consultant|The consultant provided valuable advice to the company.|Nom masculin|consultant
consume|They consume a healthy diet rich in fruits and vegetables.|Verbe|consommer
consumer|The consumer demand for eco-friendly products is growing.|Nom masculin|consommateur
consumption|The excessive consumption of sugary drinks is a concern.|Nom féminin|consommation
contact|She will contact the customer regarding the issue.|Verbe|contacter
contain|The box will contain various items.|Verbe|contenir
container|The container holds the supplies for the event.|Nom masculin|conteneur
contemporary|Contemporary art often challenges traditional norms.|Adjectif|contemporain
content|The content of the book is engaging and informative.|Nom masculin|contenu
contest|The spelling contest is open to all students.|Nom masculin|concours
context|Understanding the context is crucial for interpretation.|Nom masculin|contexte
continue|She will continue her studies at the university.|Verbe|continuer
continued|The continued growth of the company is impressive.|Adjectif|continu
contract|They will sign a contract for the project.|Nom masculin|contrat
contrast|The contrast between the colors is striking.|Nom masculin|contraste
contribute|She will contribute her expertise to the team.|Verbe|contribuer
contribution|His contribution to the community is valued.|Nom féminin|contribution
control|He has control over the company's operations.|Nom masculin|contrôle
controversial|The controversial topic sparked debates.|Adjectif|controversé
controversy|The controversy surrounding the decision was intense.|Nom féminin|controverse
convention|The convention attracts participants from around the world.|Nom féminin|convention
conventional|She prefers conventional methods for problem-solving.|Adjectif|conventionnel
conversation|The conversation covered a wide range of topics.|Nom féminin|conversation
convert|She will convert the file to a different format.|Verbe|convertir
conviction|Her conviction in her beliefs is unwavering.|Nom féminin|conviction
convince|He will try to convince them of his plan.|Verbe|convaincre
cook|She loves to cook and experiment with recipes.|Verbe|cuisiner
cookie|She baked a batch of chocolate chip cookies.|Nom masculin|cookie
cooking|Cooking can be a relaxing and creative activity.|Nom masculin|cuisine
cool|The cool breeze provided relief from the heat.|Adjectif|frais
cooperation|Cooperation among team members is essential.|Nom féminin|coopération
cop|The cop patrolled the neighborhood to ensure safety.|Nom masculin|policier
cope|She needed to cope with the stress of the situation.|Verbe|faire face
copy|She made a copy of the document for her records.|Nom masculin|copie
core|The core of the issue was the lack of communication.|Nom masculin|noyau
corn|Fresh corn on the cob is a popular summer treat.|Nom masculin|maïs
corner|She found a cozy corner to read her book.|Nom masculin|coin
corporate|The corporate office is located in the city center.|Adjectif|d'entreprise
corporation|The corporation is a major player in the industry.|Nom féminin|entreprise
correct|The correct answer was highlighted in green.|Adjectif|correct
correspondent|The correspondent reported live from the scene.|Nom masculin|correspondant
cost|The cost of living in the city is high.|Nom masculin|coût
cotton|The fabric of the shirt is soft cotton.|Nom masculin|coton
couch|She lounged on the couch while watching TV.|Nom masculin|canapé
could|She could complete the task with time to spare.|Modal|pouvoir
council|The council discussed important community issues.|Nom masculin|conseil
counselor|The counselor provided guidance to the students.|Nom masculin|conseiller
